feature,dtype,tier,prediction_available
ensembl_gene_id,str,ID_or_meta,False
efo_id,str,ID_or_meta,False
gene_symbol,str,ID_or_meta,False
therapy_area,category,ID_or_meta,False
label_consensus,float64,0_LABEL,False
label_tier,float64,0_LABEL,False
label_source,str,0_LABEL,False
label_confidence,float64,0_LABEL,False
conflict,float64,0_LABEL,False
n_sources,float64,0_LABEL,False
label_efficacy_gold,float64,0_LABEL,False
label_advancement,float64,0_LABEL,False
label_ctgov,float64,0_LABEL,False
label_pipeline,float64,0_LABEL,False
label_sec,float64,0_LABEL,False
src_gold,float64,0_LABEL,False
src_advancement,float64,0_LABEL,False
src_ctgov,float64,0_LABEL,False
src_pipeline,float64,0_LABEL,False
src_sec,float64,0_LABEL,False
ctgov_confidence,float64,1_POSTHOC_outcome_derived,False
ctgov_reason,str,ID_or_meta,False
ctgov_nct_ids,str,ID_or_meta,False
ctgov_n_failed_trials,float64,1_POSTHOC_outcome_derived,False
pipeline_confidence,float64,1_POSTHOC_outcome_derived,False
pipeline_years_silent,float64,1_POSTHOC_outcome_derived,False
sec_confidence,float64,1_POSTHOC_outcome_derived,False
sec_programs,str,ID_or_meta,False
max_phase_reached,float64,1_POSTHOC_outcome_derived,False
first_year,float64,2_TEMPORAL_confounded,False
sec_companies,str,ID_or_meta,False
sec_company_disappeared,float64,4_INTRINSIC_deployable,True
src_sec_company,float64,0_LABEL,False
uniprot_acc,str,ID_or_meta,False
protein_name,str,ID_or_meta,False
pdb_codes,str,ID_or_meta,False
has_pdb,float64,4_INTRINSIC_deployable,True
protein_length,float64,4_INTRINSIC_deployable,True
protein_mass,float64,4_INTRINSIC_deployable,True
is_membrane,float64,4_INTRINSIC_deployable,True
has_signal_peptide,float64,4_INTRINSIC_deployable,True
subcellular_location,str,ID_or_meta,False
pI,float64,4_INTRINSIC_deployable,True
gravy,float64,4_INTRINSIC_deployable,True
instability,float64,4_INTRINSIC_deployable,True
label_ctgov_moa,float64,0_LABEL,False
ctgov_moa_confidence,float64,1_POSTHOC_outcome_derived,False
src_ctgov_moa,float64,0_LABEL,False
moa_confirmed,float64,1_POSTHOC_outcome_derived,False
press_confidence,float64,1_POSTHOC_outcome_derived,False
src_press,float64,0_LABEL,False
ot_confidence,float64,1_POSTHOC_outcome_derived,False
src_ot,float64,0_LABEL,False
llm_confidence,float64,1_POSTHOC_outcome_derived,False
src_llm,float64,0_LABEL,False
label_consensus_v2,float64,0_LABEL,False
label_tier_v2,float64,0_LABEL,False
label_confidence_v2,float64,0_LABEL,False
n_sources_v2,float64,0_LABEL,False
conf_abstract_confidence,float64,1_POSTHOC_outcome_derived,False
src_conf_abstract,int64,0_LABEL,False
tgt_other_attempts,int64,1_POSTHOC_outcome_derived,False
tgt_other_failures,int64,1_POSTHOC_outcome_derived,False
tgt_other_approvals,int64,1_POSTHOC_outcome_derived,False
tgt_other_fail_rate,float64,1_POSTHOC_outcome_derived,False
tgt_channel_breadth,float64,1_POSTHOC_outcome_derived,False
dis_other_fail_rate,float64,1_POSTHOC_outcome_derived,False
fail_efficacy,int64,1_POSTHOC_outcome_derived,False
fail_safety,int64,1_POSTHOC_outcome_derived,False
n_fail_reports,int64,1_POSTHOC_outcome_derived,False
late_efficacy_failure,int64,1_POSTHOC_outcome_derived,False
comech_fail_rate_max,float64,1_POSTHOC_outcome_derived,False
