split,model,status,gene_roc,gene_pr,pair_roc,within_disease_roc,p_at_20,n_scored,perm_gene_roc
seqclust,xgb_baseline,ok,0.847,0.4992,0.8053,0.6861,0.95,6843,0.4457
seqclust,mono_gbm,ok,0.8583,0.5067,0.808,0.6883,0.95,6843,0.45
seqclust,elasticnet_glm,ok,0.8515,0.5052,0.8155,0.6623,0.85,6843,0.4872
seqclust,cart,ok,0.7909,0.4169,0.7623,0.6051,0.95,6843,0.5114
seqclust,scorecard,ok,0.8172,0.5325,0.8054,0.6517,1.0,6843,0.4995
seqclust,ripper,ok,0.6335,0.3086,0.6428,0.5464,0.9,6843,0.4827
seqclust,ga2m,ok,0.8455,0.4782,0.8084,0.6646,0.95,6843,0.4635
seqclust,nam,ok,0.8563,0.4888,0.8208,0.6735,0.85,6843,0.4627
seqclust,knn,ok,0.8566,0.5624,0.818,0.6749,0.95,6843,0.4326
gene,xgb_baseline,ok,0.8589,0.5383,0.8275,0.6906,0.9,6843,
gene,mono_gbm,ok,0.8652,0.5353,0.8254,0.6858,0.95,6843,
gene,elasticnet_glm,ok,0.8623,0.5299,0.823,0.6779,0.9,6843,
gene,cart,ok,0.7865,0.4074,0.7505,0.5997,0.85,6843,
gene,scorecard,ok,0.8338,0.5426,0.8118,0.6626,1.0,6843,
gene,ripper,ok,0.7187,0.3211,0.7108,0.6112,0.75,6843,
gene,ga2m,ok,0.8599,0.5182,0.8226,0.6674,0.9,6843,
gene,nam,ok,0.8592,0.5293,0.8251,0.6684,0.9,6843,
gene,knn,ok,0.8654,0.5587,0.8234,0.6782,0.95,6843,
disease,xgb_baseline,ok,0.6567,0.132,0.6173,0.5548,0.25,6843,
disease,mono_gbm,ok,0.6984,0.1429,0.6439,0.5588,0.3,6843,
disease,elasticnet_glm,ok,0.7572,0.1972,0.694,0.599,0.4,6843,
disease,cart,ok,0.6373,0.1248,0.5645,0.5336,0.3,6843,
disease,scorecard,ok,0.7326,0.1548,0.6759,0.5907,0.1,6843,
disease,ripper,ok,0.5212,0.1216,0.5042,0.5113,0.3,6843,
disease,ga2m,ok,0.7848,0.2189,0.7028,0.6017,0.35,6843,
disease,nam,ok,0.7326,0.1908,0.6572,0.6114,0.5,6843,
disease,knn,ok,0.7206,0.2011,0.6689,0.5818,0.3,6843,
random,xgb_baseline,ok,0.9476,0.8645,0.8732,0.7728,1.0,6843,
random,mono_gbm,ok,0.9461,0.8513,0.8749,0.7689,1.0,6843,
random,elasticnet_glm,ok,0.9236,0.6899,0.8708,0.7804,1.0,6843,
random,cart,ok,0.8598,0.5547,0.8338,0.699,0.85,6843,
random,scorecard,ok,0.8752,0.6144,0.8471,0.7467,1.0,6843,
random,ripper,ok,0.7877,0.555,0.6751,0.5984,1.0,6843,
random,ga2m,ok,0.933,0.7967,0.8753,0.7631,1.0,6843,
random,nam,ok,0.9172,0.6591,0.8671,0.7616,0.9,6843,
random,knn,ok,0.9152,0.6615,0.8657,0.7652,0.95,6843,
