split,model,status,gene_roc,gene_pr,pair_roc,within_disease_roc,p_at_20,n_scored,perm_gene_roc
seqclust,xgb_baseline,ok,0.8451,0.4989,0.803,0.6807,0.95,6843,0.4528
seqclust,mono_gbm,ok,0.8552,0.5078,0.8096,0.6894,0.95,6843,0.4427
seqclust,elasticnet_glm,ok,0.8513,0.5061,0.8152,0.661,0.85,6843,0.4874
seqclust,cart,ok,0.7909,0.4169,0.7623,0.6051,0.95,6843,0.5114
seqclust,scorecard,ok,0.8126,0.5158,0.8037,0.6519,1.0,6843,0.5028
seqclust,ripper,ok,0.6335,0.3086,0.6428,0.5464,0.9,6843,0.4827
seqclust,ga2m,ok,0.848,0.486,0.8116,0.669,0.95,6843,0.4591
seqclust,nam,ok,0.8564,0.4843,0.8204,0.673,0.85,6843,0.4628
seqclust,knn,ok,0.8576,0.5605,0.8176,0.6704,0.95,6843,0.4308
gene,xgb_baseline,ok,0.8581,0.5359,0.8258,0.6793,0.95,6843,
gene,mono_gbm,ok,0.8631,0.5372,0.826,0.6866,0.95,6843,
gene,elasticnet_glm,ok,0.8614,0.5296,0.8229,0.6758,0.9,6843,
gene,cart,ok,0.7865,0.4074,0.7505,0.5997,0.85,6843,
gene,scorecard,ok,0.8319,0.538,0.8124,0.6547,0.95,6843,
gene,ripper,ok,0.7187,0.3211,0.7108,0.6112,0.75,6843,
gene,ga2m,ok,0.8552,0.5164,0.8203,0.6572,0.9,6843,
gene,nam,ok,0.8604,0.5275,0.8256,0.6642,0.9,6843,
gene,knn,ok,0.8637,0.5555,0.8234,0.6799,0.95,6843,
disease,xgb_baseline,ok,0.6776,0.1336,0.6271,0.5572,0.2,6843,
disease,mono_gbm,ok,0.7092,0.153,0.6511,0.5713,0.2,6843,
disease,elasticnet_glm,ok,0.756,0.1958,0.6944,0.6029,0.4,6843,
disease,cart,ok,0.6373,0.1248,0.5645,0.5336,0.3,6843,
disease,scorecard,ok,0.7338,0.1594,0.6796,0.5862,0.15,6843,
disease,ripper,ok,0.5212,0.1216,0.5042,0.5113,0.3,6843,
disease,ga2m,ok,0.7889,0.228,0.7107,0.6136,0.35,6843,
disease,nam,ok,0.735,0.1939,0.658,0.6103,0.5,6843,
disease,knn,ok,0.7173,0.1949,0.6691,0.579,0.25,6843,
random,xgb_baseline,ok,0.9485,0.8627,0.8731,0.7735,1.0,6843,
random,mono_gbm,ok,0.9459,0.8522,0.875,0.7701,1.0,6843,
random,elasticnet_glm,ok,0.9237,0.6886,0.8708,0.7804,0.95,6843,
random,cart,ok,0.8598,0.5547,0.8338,0.699,0.85,6843,
random,scorecard,ok,0.8683,0.6091,0.8454,0.7282,1.0,6843,
random,ripper,ok,0.7877,0.555,0.6751,0.5984,1.0,6843,
random,ga2m,ok,0.9336,0.794,0.876,0.7656,1.0,6843,
random,nam,ok,0.9165,0.6603,0.8671,0.7636,0.9,6843,
random,knn,ok,0.919,0.6629,0.8663,0.7742,0.95,6843,
